id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_shard,parent_payment_id,shard1_id,shard2_id,is_success,is_rolledback,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee,attempts_history
0,1994,93,10155281,1946,-1,2548,0,0,-1,-1,-1,1,0,0,0,0,1,15369-57259-354,2020,"[{""attempts"":1,""is_succeeded"":1,""end_time"":2548,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":15369,""from_node_id"":1994,""to_node_id"":58,""sent_amt"":10157301,""edge_cap"":278409659,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":57259,""from_node_id"":58,""to_node_id"":46,""sent_amt"":10156291,""edge_cap"":16419250863,""channel_cap"":16703447000,""group_cap"":null,""channel_update"":16703447000},{""edge_id"":354,""from_node_id"":46,""to_node_id"":93,""sent_amt"":10155281,""edge_cap"":848209,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000}]}]"
1,2263,2397,9181246,2728,-1,3329,0,0,-1,-1,-1,1,0,0,0,0,1,20139-6838-19655,2036,"[{""attempts"":1,""is_succeeded"":1,""end_time"":3329,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":20139,""from_node_id"":2263,""to_node_id"":410,""sent_amt"":9183282,""edge_cap"":895880728,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":6838,""from_node_id"":410,""to_node_id"":332,""sent_amt"":9181256,""edge_cap"":55942237,""channel_cap"":824528000,""group_cap"":null,""channel_update"":824528000},{""edge_id"":19655,""from_node_id"":332,""to_node_id"":2397,""sent_amt"":9181246,""edge_cap"":10705382,""channel_cap"":20000000,""group_cap"":null,""channel_update"":20000000}]}]"
2,1270,3065,8882978,2892,-1,3894,1,0,-1,500,501,0,0,3,0,0,27,"",0,
3,1672,576,9364605,2933,-1,3334,0,0,-1,-1,-1,1,0,0,0,0,1,12221-2843,9,"[{""attempts"":1,""is_succeeded"":1,""end_time"":3334,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":12221,""from_node_id"":1672,""to_node_id"":513,""sent_amt"":9364614,""edge_cap"":465125495,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000},{""edge_id"":2843,""from_node_id"":513,""to_node_id"":576,""sent_amt"":9364605,""edge_cap"":963433445,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000}]}]"
4,2662,2911,10748350,2965,-1,2965,1,0,-1,514,515,0,0,0,0,0,24,"",0,
5,4296,5389,9677345,4780,-1,5383,0,0,-1,-1,-1,0,0,1,0,0,2,40501-58979-55603-53478,3143,"[{""attempts"":1,""is_succeeded"":0,""end_time"":5383,""error_edge"":53478,""error_type"":1,""route"":[{""edge_id"":40501,""from_node_id"":4296,""to_node_id"":1474,""sent_amt"":9680488,""edge_cap"":3274607229,""channel_cap"":3320000000,""group_cap"":null,""channel_update"":3320000000},{""edge_id"":58979,""from_node_id"":1474,""to_node_id"":457,""sent_amt"":9680478,""edge_cap"":1947442184,""channel_cap"":2100000000,""group_cap"":null,""channel_update"":2100000000},{""edge_id"":55603,""from_node_id"":457,""to_node_id"":5367,""sent_amt"":9678354,""edge_cap"":979963393,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":53478,""from_node_id"":5367,""to_node_id"":5389,""sent_amt"":9677345,""edge_cap"":81981,""channel_cap"":100000000,""group_cap"":null,""channel_update"":9677345}]}]"
6,2201,5209,7941983,5063,-1,5866,0,0,-1,-1,-1,1,0,0,0,0,1,41517-55316-52537-51259,1811,"[{""attempts"":1,""is_succeeded"":1,""end_time"":5866,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":41517,""from_node_id"":2201,""to_node_id"":2,""sent_amt"":7943794,""edge_cap"":47610054,""channel_cap"":61337000,""group_cap"":null,""channel_update"":61337000},{""edge_id"":55316,""from_node_id"":2,""to_node_id"":3074,""sent_amt"":7943794,""edge_cap"":66620011,""channel_cap"":1500000000,""group_cap"":null,""channel_update"":1500000000},{""edge_id"":52537,""from_node_id"":3074,""to_node_id"":4243,""sent_amt"":7942990,""edge_cap"":2431899445,""channel_cap"":2500000000,""group_cap"":null,""channel_update"":2500000000},{""edge_id"":51259,""from_node_id"":4243,""to_node_id"":5209,""sent_amt"":7941983,""edge_cap"":84275022,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000}]}]"
7,5739,4115,11569403,5992,-1,6793,0,0,-1,-1,-1,1,0,0,0,0,1,57011-8191-209-37954,4979,"[{""attempts"":1,""is_succeeded"":1,""end_time"":6793,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":57011,""from_node_id"":5739,""to_node_id"":219,""sent_amt"":11574382,""edge_cap"":13726209901,""channel_cap"":14000000000,""group_cap"":null,""channel_update"":14000000000},{""edge_id"":8191,""from_node_id"":219,""to_node_id"":24,""sent_amt"":11571225,""edge_cap"":13858309997,""channel_cap"":15000000000,""group_cap"":null,""channel_update"":15000000000},{""edge_id"":209,""from_node_id"":24,""to_node_id"":90,""sent_amt"":11570414,""edge_cap"":68949547,""channel_cap"":87340000,""group_cap"":null,""channel_update"":87340000},{""edge_id"":37954,""from_node_id"":90,""to_node_id"":4115,""sent_amt"":11569403,""edge_cap"":1710421,""channel_cap"":150000000,""group_cap"":null,""channel_update"":150000000}]}]"
8,3243,1859,8901244,7826,-1,8427,0,0,-1,-1,-1,1,0,0,0,0,1,33915-47728-14337,1008,"[{""attempts"":1,""is_succeeded"":1,""end_time"":8427,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33915,""from_node_id"":3243,""to_node_id"":2,""sent_amt"":8902252,""edge_cap"":21188823,""channel_cap"":31337000,""group_cap"":null,""channel_update"":31337000},{""edge_id"":47728,""from_node_id"":2,""to_node_id"":400,""sent_amt"":8902252,""edge_cap"":97475967,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":14337,""from_node_id"":400,""to_node_id"":1859,""sent_amt"":8901244,""edge_cap"":3733339737,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000}]}]"
9,4723,1812,8543460,12109,-1,12710,0,0,-1,-1,-1,1,0,0,0,0,1,47154-55054-14267,117,"[{""attempts"":1,""is_succeeded"":1,""end_time"":12710,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":47154,""from_node_id"":4723,""to_node_id"":130,""sent_amt"":8543577,""edge_cap"":93208152,""channel_cap"":5173250000,""group_cap"":null,""channel_update"":5173250000},{""edge_id"":55054,""from_node_id"":130,""to_node_id"":17,""sent_amt"":8543568,""edge_cap"":715682425,""channel_cap"":8000000000,""group_cap"":null,""channel_update"":8000000000},{""edge_id"":14267,""from_node_id"":17,""to_node_id"":1812,""sent_amt"":8543460,""edge_cap"":221177251,""channel_cap"":250000000,""group_cap"":null,""channel_update"":250000000}]}]"
10,1088,3192,10465392,12529,-1,12931,0,0,-1,-1,-1,0,0,1,0,0,2,6780-13299-27774,20,"[{""attempts"":1,""is_succeeded"":0,""end_time"":12931,""error_edge"":27774,""error_type"":1,""route"":[{""edge_id"":6780,""from_node_id"":1088,""to_node_id"":513,""sent_amt"":10465412,""edge_cap"":32858254,""channel_cap"":1250000000,""group_cap"":null,""channel_update"":1250000000},{""edge_id"":13299,""from_node_id"":513,""to_node_id"":1685,""sent_amt"":10465402,""edge_cap"":1987040581,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":27774,""from_node_id"":1685,""to_node_id"":3192,""sent_amt"":10465392,""edge_cap"":4557386,""channel_cap"":50000000,""group_cap"":null,""channel_update"":10465392}]}]"
11,4568,1717,8111200,13032,-1,13635,0,0,-1,-1,-1,1,0,0,0,0,1,44869-23476-12511,1016,"[{""attempts"":1,""is_succeeded"":1,""end_time"":13635,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":44869,""from_node_id"":4568,""to_node_id"":46,""sent_amt"":8112216,""edge_cap"":2988026804,""channel_cap"":3000000000,""group_cap"":null,""channel_update"":3000000000},{""edge_id"":23476,""from_node_id"":46,""to_node_id"":513,""sent_amt"":8111208,""edge_cap"":71056942,""channel_cap"":1227379000,""group_cap"":null,""channel_update"":1227379000},{""edge_id"":12511,""from_node_id"":513,""to_node_id"":1717,""sent_amt"":8111200,""edge_cap"":987253875,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000}]}]"
12,2282,1218,10519032,13211,-1,13814,0,0,-1,-1,-1,1,0,0,0,0,1,29998-30098-7573,762,"[{""attempts"":1,""is_succeeded"":1,""end_time"":13814,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":29998,""from_node_id"":2282,""to_node_id"":3464,""sent_amt"":10519794,""edge_cap"":1385304486,""channel_cap"":16777215000,""group_cap"":null,""channel_update"":16777215000},{""edge_id"":30098,""from_node_id"":3464,""to_node_id"":282,""sent_amt"":10519294,""edge_cap"":1101367524,""channel_cap"":16777215000,""group_cap"":null,""channel_update"":16777215000},{""edge_id"":7573,""from_node_id"":282,""to_node_id"":1218,""sent_amt"":10519032,""edge_cap"":27008341,""channel_cap"":40000000,""group_cap"":null,""channel_update"":40000000}]}]"
13,2864,1395,12088320,13575,-1,14179,0,0,-1,-1,-1,1,0,0,0,0,1,27342-23477-10827,1024,"[{""attempts"":1,""is_succeeded"":1,""end_time"":14179,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":27342,""from_node_id"":2864,""to_node_id"":513,""sent_amt"":12089344,""edge_cap"":21074104,""channel_cap"":550000000,""group_cap"":null,""channel_update"":550000000},{""edge_id"":23477,""from_node_id"":513,""to_node_id"":46,""sent_amt"":12089332,""edge_cap"":1144232726,""channel_cap"":1227379000,""group_cap"":null,""channel_update"":1227379000},{""edge_id"":10827,""from_node_id"":46,""to_node_id"":1395,""sent_amt"":12088320,""edge_cap"":1869638763,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000}]}]"
14,3613,1249,10536165,13982,-1,14584,0,0,-1,-1,-1,1,0,0,0,0,1,31702-39941-7776,3063,"[{""attempts"":1,""is_succeeded"":1,""end_time"":14584,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":31702,""from_node_id"":3613,""to_node_id"":177,""sent_amt"":10539228,""edge_cap"":34701165,""channel_cap"":1250000000,""group_cap"":null,""channel_update"":1250000000},{""edge_id"":39941,""from_node_id"":177,""to_node_id"":1256,""sent_amt"":10537175,""edge_cap"":172832708,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":7776,""from_node_id"":1256,""to_node_id"":1249,""sent_amt"":10536165,""edge_cap"":40042102,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000}]}]"
15,109,2086,10524912,14975,-1,15577,0,0,-1,-1,-1,1,0,0,0,0,1,5127-9630-16305,22,"[{""attempts"":1,""is_succeeded"":1,""end_time"":15577,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5127,""from_node_id"":109,""to_node_id"":346,""sent_amt"":10524934,""edge_cap"":1955803949,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":9630,""from_node_id"":346,""to_node_id"":1477,""sent_amt"":10524923,""edge_cap"":426902371,""channel_cap"":10000000000,""group_cap"":null,""channel_update"":10000000000},{""edge_id"":16305,""from_node_id"":1477,""to_node_id"":2086,""sent_amt"":10524912,""edge_cap"":38399859,""channel_cap"":50000000,""group_cap"":null,""channel_update"":50000000}]}]"
16,1324,5134,10998679,15651,-1,16252,0,0,-1,-1,-1,0,0,1,0,0,2,8619-48359-43931-50624,2020,"[{""attempts"":1,""is_succeeded"":0,""end_time"":16252,""error_edge"":50624,""error_type"":1,""route"":[{""edge_id"":8619,""from_node_id"":1324,""to_node_id"":2,""sent_amt"":11000699,""edge_cap"":2938420914,""channel_cap"":3000000000,""group_cap"":null,""channel_update"":3000000000},{""edge_id"":48359,""from_node_id"":2,""to_node_id"":4254,""sent_amt"":11000699,""edge_cap"":318503064,""channel_cap"":333048000,""group_cap"":null,""channel_update"":333048000},{""edge_id"":43931,""from_node_id"":4254,""to_node_id"":4513,""sent_amt"":10999689,""edge_cap"":99413476,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":50624,""from_node_id"":4513,""to_node_id"":5134,""sent_amt"":10998679,""edge_cap"":3871604,""channel_cap"":100000000,""group_cap"":null,""channel_update"":10998679}]}]"
17,4785,294,10189645,15719,-1,16324,0,0,-1,-1,-1,0,0,1,0,0,2,47859-51630-51569-968,2049,"[{""attempts"":1,""is_succeeded"":0,""end_time"":16324,""error_edge"":968,""error_type"":1,""route"":[{""edge_id"":47859,""from_node_id"":4785,""to_node_id"":4100,""sent_amt"":10191694,""edge_cap"":98268502,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":51630,""from_node_id"":4100,""to_node_id"":3467,""sent_amt"":10190684,""edge_cap"":177311676,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":51569,""from_node_id"":3467,""to_node_id"":263,""sent_amt"":10190655,""edge_cap"":1901123252,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":968,""from_node_id"":263,""to_node_id"":294,""sent_amt"":10189645,""edge_cap"":3600853,""channel_cap"":60000000,""group_cap"":null,""channel_update"":10189645}]}]"
